Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-01,24.1,10.6,17,,,,,22.3,,,52.55
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-02,21.1,10.1,15.7,,,,,20.5,,,52.15
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-03,16.2,8.1,11.7,6.6,,,,20.5,,,31.61
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-04,20.1,7.4,12.1,7.4,,,,25.9,,,30.67
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-05,23.2,2.9,12.6,2.2,,,,18.4,,,26.88
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-06,22.6,3.1,13.2,1.7,,,,22.3,,,25.17
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-07,24.1,3.4,13.6,3.7,,,,20.5,,,23.49
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-08,24.7,4.9,14.2,4,,,,24.1,,,25.45
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-09,23.1,5.1,13.3,4.3,,,,24.1,,,25.28
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-10,24.1,2.1,12.8,0.6,,,,25.9,,,29.15
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-11,24.1,3.1,12.7,1.9,,,,24.1,,,34.42
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-12,26.1,3.1,14.3,4.5,,,,22.3,,,30.68
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-13,26.1,5.1,15.4,4,,,,20.5,,,29.74
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-14,25.1,7.7,16,6.8,,,,29.5,,,34.63
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-15,25.1,8.1,16.3,7.4,,,,16.6,,,32.28
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-16,26.1,7.1,16.2,6.4,,,,27.7,,,42.78
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-17,24.1,7.9,15.1,7.2,,,,24.1,,,54.16
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-18,24.1,7.1,13.7,7.5,,,,24.1,,,54.97
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-19,24.4,6.1,13.9,5.1,,,,20.5,,,50.37
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-20,24.1,6.1,14.9,6.6,,,,29.5,,,41.22
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-21,25.1,11.1,16.7,,,,,24.1,,,36.61
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-22,26.1,8.1,17.8,7.8,,,,22.3,,,33.19
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-23,21.6,10.1,14.1,,,,,25.9,,,44.58
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-24,22.1,5.1,12.2,4.5,,,,25.9,,,45.98
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-25,20.1,4.1,12.2,2.9,,,,25.9,,,43.24
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-26,22.1,6.1,13.5,5.1,,,,22.3,,,37.77
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-27,22.1,6.7,13.7,7.6,,,,24.1,,,36.26
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-28,22.1,6.1,13.3,,,,,22.3,,,44.12
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-29,22.2,5.1,14.9,,,,,31.3,,,44.71
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-30,22.7,7.9,15.5,7,,,,25.9,,,50.25
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-01-31,23.1,9.1,15.8,,,,,27.7,,,47
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-01,21.1,9.1,15.3,,,3,,25.9,,,63.13
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-02,23.1,9.1,16.1,,,,,31.3,,,65.14
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-03,24.1,8.1,16.9,,,,,31.3,,,50.63
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-04,24.1,10.1,17.1,,,,,35.3,,,49.96
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-05,25.1,10.1,17.8,,,,,18.4,,,49.69
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-06,25.1,11.1,17.5,,,,,27.7,,,59.53
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-07,23.1,10.1,15.9,,,3.5,,24.1,,,74.17
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-08,24.1,8.1,16.8,7.4,,,,16.6,,,58
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-09,25.1,9.4,16.9,,,,,25.9,,,43.71
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-10,26.4,10.4,18.3,,,,,18.4,,,46.9
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-11,27.7,10.1,18.3,,26.6,,,22.3,,,52.35
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-12,26.1,10.1,18.7,,,,,20.5,,,51.38
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-13,25.1,12.4,18.8,,,,,29.5,,,50.18
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-14,26.2,12.1,18.6,,,,,25.9,,,40.75
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-15,25.1,11.1,17.5,,,0.3,,31.3,,,36.66
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-16,24.9,10.7,17.4,,,,,29.5,,,42.78
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-17,26.1,11.1,18.6,,,,,20.5,,,50.28
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-18,26.1,11.9,19.2,,,,,31.3,,,49.38
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-19,26.1,12.1,18.6,,,,,18.4,,,56.03
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-20,23.1,13.1,17.3,,,,,22.3,,,46.91
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-21,24.2,7.1,16.1,,,,,22.3,,,36.43
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-22,27.1,9.9,17.8,,26.1,,,25.9,,,35.33
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-23,26.1,12.1,18.9,,,,,18.4,,,44.43
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-24,27.4,11.6,19.3,,26.2,,,22.3,,,35.79
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-25,27.1,11.6,18.9,,26.2,,,22.3,,,34.37
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-26,27.2,10.1,19.4,,26,,,22.3,,,29.57
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-27,28.2,12.1,19.8,,26.7,,,18.4,,,29.41
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-02-28,26.1,10.6,17.8,,,,,18.4,,,31.86
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-01,28.4,11.4,19.7,,26.9,,,24.1,,,29.67
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-02,27.1,11.1,19.6,,26.1,,,22.3,,,37.55
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-03,25.1,11.1,17,,,,,27.7,,,30.43
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-04,27.4,8.1,16.9,,,,,29.5,,,28.34
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-05,28.1,9.7,18.1,,26.7,,,27.7,,,18.84
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-06,27.9,11.1,20.4,,25.8,,,22.3,,,21.51
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-07,28.1,11.6,19.6,,26.6,,,25.9,,,34.36
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-08,28.1,12.1,20,,26.7,,,20.5,,,41.04
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-09,28.2,13.1,21.5,,26.7,,,18.4,,,31.09
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-10,28.1,12.1,20.2,,26.6,,,18.4,,,27.39
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-11,25.9,11.7,19.1,,,,,24.1,,,21.07
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-12,26.4,10.1,18.8,,,,,25.9,,,22.97
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-13,28.1,10.7,20,,26.6,,,18.4,,,25.87
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-14,29.1,12.4,20.9,,26.5,,,22.3,,,52.74
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-15,30.1,12.1,20.9,,28.2,,,22.3,,,36.61
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-16,28.1,14.7,20.7,,26.8,,,24.1,,,45.54
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-17,25.1,14.7,19.3,,,,,33.5,,,48.13
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-18,22.4,14.1,18.3,,,,,40.7,,,46.66
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-19,23.9,8.1,16.6,6.8,,,,35.3,,,32.31
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-20,25.1,9.1,17.7,8.7,,,,31.3,,,38.37
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-21,26.1,14.1,19.3,,,,,27.7,,,51.56
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-22,25.2,13.1,19.2,,,,,31.3,,,49.57
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-23,25.1,14.1,19.1,,,4.1,,16.6,,,52.04
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-24,26.4,12.6,19.9,,,,,22.3,,,51.99
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-25,25.1,14.1,19.5,,,,,20.5,,,53.77
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-26,29.1,13.7,19.7,,27.5,,,22.3,,,48.91
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-27,26.4,13.2,20.3,,,,,25.9,,,50.95
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-28,25.1,14.1,18.4,,,1,,20.5,,,64.35
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-29,27.2,12.9,19.4,,26.2,5.1,,20.5,,,60.33
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-30,25.1,13.9,18.7,,,,,22.3,,,57.22
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-03-31,27.1,12.9,18.7,,26.2,,,16.6,,,60.11
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-01,27.1,12.9,20.4,,26.1,,,13,,,51.92
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-02,29.1,14.7,20.8,,27.4,,,27.7,,,48.05
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-03,27.6,13.7,20.7,,26.4,,,22.3,,,39.08
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-04,27.1,13.4,20,,26.2,,,25.9,,,48.77
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-05,24.2,12.7,16.8,,,7.1,,11.2,,,69.67
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-06,26.1,11.9,19.3,,,,,27.7,,,55.81
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-07,26.1,11.9,17.4,,,0.8,,14.8,,,66.62
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-08,25.2,11.9,17.7,,,2,,27.7,,,64.81
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-09,24.6,12.1,16.8,,,0.5,,29.5,,,62.63
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-10,25.1,11.1,17.4,,,0.5,,22.3,,,56.61
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-11,28.1,11.9,18.3,,26.7,,,25.9,,,53.65
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-12,24.7,13.7,19.4,,,,,29.5,,,50.47
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-13,26.1,12.1,19.3,,,,,14.8,,,52.78
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-14,26.4,13.4,20.1,,,,,25.9,,,53.62
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-15,25.1,13.7,18.4,,,,,20.5,,,61.15
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-16,25.6,13.4,18.8,,,0.5,,22.3,,,43.75
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-17,25.1,13.1,19.8,,,,,16.6,,,35.77
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-18,27.1,12.9,20.2,,26.2,,,24.1,,,39.93
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-19,28.1,13.1,20.9,,26.7,,,37.1,,,36.57
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-20,27.1,12.9,21.1,,26,,,18.4,,,22.99
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-21,27.2,11.9,20.7,,26,,,22.3,,,24.24
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-22,28.1,12.7,20.9,,26.7,,,22.3,,,20.13
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-23,26.1,13.1,20.7,,,,,25.9,,,22.28
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-24,27.1,14.1,20.5,,25.9,,,20.5,,,27.7
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-25,28.1,12.1,20.1,,26.8,,,29.5,,,32.45
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-26,29.1,13.1,21.1,,27.4,,,18.4,,,38.46
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-27,28.4,13.4,21.7,,27,,,25.9,,,31.97
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-28,28.1,13.4,21.7,,26.7,,,25.9,,,20.3
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-29,27.6,13.9,21.2,,26.3,,,25.9,,,20.56
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-04-30,28.1,13.1,21.4,,26.7,,,22.3,,,19.9
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-01,27.4,14.1,21.7,,26.2,,,20.5,,,22.57
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-02,27.2,11.9,20.7,,26,,,22.3,,,20.34
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-03,28.1,12.9,21.3,,26.7,,,22.3,,,21.76
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-04,27.2,13.6,21.9,,26.1,,,16.6,,,30.34
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-05,28.1,13.4,22.2,,26.6,,,20.5,,,29.56
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-06,28.1,14.2,22.5,,26.6,,,16.6,,,22.46
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-07,28.1,14.1,22.3,,26.7,,,13,,,22.37
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-08,28.1,13.9,21.4,,26.7,,,22.3,,,23.71
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-09,28.1,14.2,21.4,,26.7,,,37.1,,,26.27
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-10,27.6,14.7,21.8,,26.3,,,20.5,,,27.74
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-11,29.1,14.1,22.1,,27.4,,,18.4,,,32.06
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-12,30.1,15.9,23.2,,28.3,,,25.9,,,36.9
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-13,30.1,15.2,23.5,,28.2,,,22.3,,,34.88
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-14,30.2,16.7,24.1,,28.2,,,20.5,,,32.87
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-15,30.1,17.9,24.2,,28.2,,,25.9,,,39.94
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-16,31.1,16.6,23.1,,29,,,27.7,,,38.5
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-17,28.2,16.7,22.7,,26.8,,,20.5,,,34.89
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-18,29.1,16.7,22.3,,27.5,,,31.3,,,40.26
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-19,28.1,15.7,21.4,,26.9,,,22.3,,,49.03
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-20,28.2,16.9,23,,27.1,,,16.6,,,37.54
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-21,28.2,16.2,23.2,,26.7,,,20.5,,,27.25
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-22,28.1,14.7,22.4,,26.7,,,24.1,,,18.63
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-23,28.4,14.4,22.4,,26.9,,,22.3,,,16.3
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-24,28.1,13.4,21.4,,26.6,,,25.9,,,14.02
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-25,27.1,12.9,21.2,,26,,,20.5,,,18.24
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-26,26.1,18.7,22.4,,,,,20.5,,,33.82
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-27,26.1,18.1,21.2,,,,,42.5,,,47.01
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-28,28.1,16.1,20.8,,27,0.5,,24.1,,,57.32
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-29,28.1,14.6,19.9,,26.9,1,,37.1,,,58.47
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-30,24.1,14.9,18.4,,,10.9,,25.9,,,72.3
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-05-31,26.1,14.1,19.3,,,13,,24.1,,,64.18
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-01,27.1,15.4,21.3,,26.3,,,29.5,,,51.2
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-02,27.7,14.7,21.8,,26.6,,,25.9,,,43.25
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-03,29.1,16.7,23.5,,27.4,,,29.5,,,29.36
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-04,29.1,15.1,23.4,,27.4,,,20.5,,,21.79
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-05,29.1,17.1,24.1,,27.4,,,24.1,,,21.48
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-06,30.1,16.6,24.1,,28.2,,,25.9,,,21.55
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-07,29.1,16.9,23.4,,27.4,,,22.3,,,29.38
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-08,29.1,16.1,23,,27.4,,,24.1,,,27.09
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-09,29.1,14.9,22.7,,27.4,,,27.7,,,14.63
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-10,28.1,14.9,22.4,,26.8,,,24.1,,,22
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-11,29.1,19.9,24.5,,27.5,,,27.7,,,27.8
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-12,29.4,15.4,23.9,,27.6,,,24.1,,,18.29
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-13,30.1,16.1,23.9,,28.2,,,18.4,,,23.17
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-14,30.1,18.6,25,,28.2,,,27.7,,,24.33
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-15,30.1,20.1,24.7,,28.2,,,25.9,,,20.13
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-16,30.1,17.1,24,,28.2,,,20.5,,,31.18
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-17,29.6,19.1,24,,27.8,,,29.5,,,33.72
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-18,30.1,17.9,23.5,,28.2,,,35.3,,,34.46
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-19,30.1,16.7,23.5,,28.2,,,31.3,,,33.61
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-20,30.1,17.9,24.1,,28.2,,,33.5,,,31.98
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-21,30.1,17.7,24.1,,28.2,,,29.5,,,32.41
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-22,29.4,18.4,24.6,,27.6,,,25.9,,,26.39
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-23,30.1,17.1,23.7,,28.2,,,27.7,,,25.29
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-24,25.1,20.1,22.6,,,,,25.9,,,28.36
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-25,28.1,21.1,23.8,,26.7,,,44.3,,,27.45
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-26,28.1,18.9,23.5,,26.8,,,40.7,,,28.73
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-27,28.1,20.1,23.4,,26.7,,,31.3,,,30.68
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-28,29.1,17.1,22.2,,27.5,,,25.9,,,43.35
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-29,26.1,17.7,22,,,2,,22.3,,,51.41
data1,"صنعاء, اليمن","صنعاء, اليمن",2007-06-30,29.1,18.9,23.4,,27.5,,,37.1,,,43.95
